p2/orbit/p2.eclipse.feature/org.eclipse.emf.edit/2.19.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.mapping.ecore.editor/2.16.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.mapping.ecore/2.14.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.mapping.ui/2.15.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.mapping/2.15.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf/2.33.0.v20230226-0921, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.epp.mpc/1.10.1.v20221110-1841, EPL-2.0, approved, technology.packaging.mpc
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.executable/3.8.2000.v20221201-0912, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.core.feature.source/1.6.1700.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.core.feature/1.6.1700.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.discovery.feature/1.2.1200.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.extras.feature.source/1.4.1900.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.extras.feature/1.4.1900.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.rcp.feature.source/1.4.1900.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.rcp.feature/1.4.1900.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.user.ui.source/2.4.1900.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.equinox.p2.user.ui/2.4.1900.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.help.source/2.3.1300.v20230302-0300, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.feature/org.eclipse.help/2.3.1300.v20230302-0300, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.feature/org.eclipse.jdt.astview.feature/1.1.15.v20230122-1501, EPL-2.0, approved, eclipse.jdt
p2/orbit/p2.eclipse.feature/org.eclipse.jdt.bcoview.feature/1.1.0.v20230117-1348, EPL-2.0, approved, eclipse.jdt
p2/orbit/p2.eclipse.feature/org.eclipse.jdt.jeview.feature/1.0.14.v20230122-1501, EPL-2.0, approved, eclipse.jdt
p2/orbit/p2.eclipse.feature/org.eclipse.jdt.source/3.19.0.v20230302-0300, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.jdt/3.19.0.v20230302-0300, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.justj.openjdk.hotspot.jre.full/17.0.5.v20221102-0933, EPL-2.0, approved, technology.justj
p2/orbit/p2.eclipse.feature/org.eclipse.pde.source/3.14.1500.v20230302-0300, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.pde/3.14.1500.v20230302-0300, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.feature/org.eclipse.platform.source/4.27.0.v20230302-0300, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.feature/org.eclipse.platform/4.27.0.v20230302-0300, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.feature/org.eclipse.rcp.source/4.27.0.v20230302-0300, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.feature/org.eclipse.rcp/4.27.0.v20230302-0300, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.feature/org.eclipse.sdk/4.27.0.v20230302-0300, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.feature/org.eclipse.userstorage/1.2.0.v20210517-0327, EPL-2.0, approved, technology.usssdk
p2/orbit/p2.eclipse.plugin/com.google.guava/30.1.0.v20221112-0806, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23002
p2/orbit/p2.eclipse.plugin/com.jcraft.jsch.source/0.1.55.v20221112-0806, BSD-3-Clause, approved, CQ19435
p2/orbit/p2.eclipse.plugin/com.jcraft.jsch/0.1.55.v20221112-0806, BSD-3-Clause, approved, CQ19435
p2/orbit/p2.eclipse.plugin/com.sun.jna.platform/5.12.1.v20221103-2317, Apache-2.0 OR LGPL-2.1-or-later, approved, #4137
p2/orbit/p2.eclipse.plugin/com.sun.jna/5.12.1.v20221103-2317, Apache-2.0 OR LGPL-2.1-or-later, approved, #4136
p2/orbit/p2.eclipse.plugin/io.github.java-diff-utils/4.8.0.v20221112-0806, Apache-2.0, approved, CQ22697
p2/orbit/p2.eclipse.plugin/javax.annotation.source/1.3.5.v20221203-1659, EPL-2.0 OR GPL-2.0-only with Classpath-exception-2.0, approved, ee4j.ca
p2/orbit/p2.eclipse.plugin/javax.annotation/1.3.5.v20221203-1659, EPL-2.0 OR GPL-2.0-only with Classpath-exception-2.0, approved, ee4j.ca
p2/orbit/p2.eclipse.plugin/javax.inject.source/1.0.0.v20220405-0441, Apache-2.0, approved, CQ3555
p2/orbit/p2.eclipse.plugin/javax.inject/1.0.0.v20220405-0441, Apache-2.0, approved, CQ3555
p2/orbit/p2.eclipse.plugin/org.apache.ant.source/1.10.12.v20211102-1452, Apache-2.0 AND EPL-2.0 AND W3C AND LicenseRef-Flora AND LicenseRef-Public-Domain, approved, CQ23806
